slno,userId,handler,title,subscriberCount,videoCount,userViewCount,joinedDate,contentId,contentType,partyName,partyShortName,duration,viewCount,commentCount,text,publishedTime,likeCount,replyCount,parentSlno,grandparentSlno,targetName,languageName,bullyLabel
18,channelid17,channelhandler17,channeltitle17,0,4,45,2022-11-05,UgxXHtAoUVhQShs_ekt4AaABAg,comment,,,,,,ধন্যবাদ সার্জিস,2024-08-17T01:13:05Z,0,0,1,1,male,bengali,not bully
19,channelid18,channelhandler18,channeltitle18,7,0,0,2024-06-24,Ugw5KIIPE8fudx89-aB4AaABAg,comment,,,,,,লা ইলাহা ইল্লাল্লাহু মুহাম্মদুর রসুলুল্লাহ সাঃ ❤❤❤❤❤❤❤❤❤❤,2024-08-17T01:00:40Z,1,0,1,1,general people,bengali,not bully
20,channelid19,channelhandler19,channeltitle19,29,4,282,2016-10-15,UgywJ-59jfkdPOaCnnJ4AaABAg,comment,,,,,,তোর কথা আস্তে বললেই তো শোনা যায় মনে হইতাছে কু*কুরের মত ঘেউ ঘেউ করছিস। 😂,2024-08-16T14:06:43Z,0,0,1,1,male,bengali,bully
21,channelid20,channelhandler20,channeltitle20,1,0,0,2023-02-07,UgyDRrw1WkbsV28caGx4AaABAg,comment,,,,,,❤️❤️❤️,2024-08-16T08:51:50Z,0,0,1,1,male,emoji-only,not bully
22,channelid21,channelhandler21,channeltitle21,3,0,0,2021-10-30,Ugz2_59nPIQBlOfLvR94AaABAg,comment,,,,,,ভোট চোরের জায়গা নাই,2024-08-16T07:16:17Z,0,0,1,1,organization,bengali,bully
23,channelid22,channelhandler22,channeltitle22,1,0,0,2022-11-20,UgxydnGC32xZMfnWV2F4AaABAg,comment,,,,,,❤❤❤❤❤❤✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊👌👌👌👌,2024-08-16T07:09:40Z,0,0,1,1,male,emoji-only,not bully
24,channelid23,channelhandler23,channeltitle23,0,0,0,2024-03-18,UgzxzDC-TetLTLtgIu94AaABAg,comment,,,,,,তুই চোর,2024-08-16T04:50:31Z,0,0,1,1,male,bengali,bully
25,channelid24,channelhandler24,channeltitle24,0,1,6,2018-04-17,UgzbR3KPYPhwDKI1T7d4AaABAg,comment,,,,,,"যে দেশে জনগণের ভোটার অধিকার থাকে না সে দেশের জনগণ ভালো থাকে কি করে, সংশোধন করে জনগণের ভোটার অধিকার দেওয়া হোক",2024-08-16T04:16:54Z,0,0,1,1,people group,bengali,not bully
26,channelid24,channelhandler24,channeltitle24,0,1,6,2018-04-17,Ugzk0TvxnS7d1O0kHIF4AaABAg,comment,,,,,,"যে দেশে জনগণের ভোটার অধিকার থাকে না সে দেশের জনগণ ভালো থাকে কি করে, সংশোধন করে জনগণের ভোটার অধিকার দেওয়া হোক",2024-08-16T04:16:38Z,0,0,1,1,people group,bengali,not bully
27,channelid25,channelhandler25,channeltitle25,0,12,24,2022-02-19,UgxgiEm6jGhD85SNe6N4AaABAg,comment,,,,,,❤❤❤❤❤,2024-08-16T02:09:55Z,0,0,1,1,male,emoji-only,not bully
28,channelid26,channelhandler26,channeltitle26,0,0,0,2024-07-05,UgxUzdVibqL6kCTZqFp4AaABAg,comment,,,,,,Thank you bro ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2024-08-15T20:45:11Z,0,0,1,1,male,english,not bully
29,channelid27,channelhandler27,channeltitle27,8,0,0,2010-02-11,UgzjpfBVFh9WEIg76ZJ4AaABAg,comment,,,,,,কি বাল ফালাও দেখবো তো... নজর রাখছি তোমাদের দিকে... জানতে চাইবা না আমি কেডা? আমি সাধারণ পাবলিক। 😊😊😊😊,2024-08-15T20:08:54Z,0,0,1,1,male,bengali,bully
30,channelid28,channelhandler28,channeltitle28,0,0,0,2020-06-19,Ugwo7d48721hwWUrQ-N4AaABAg,comment,,,,,,এগিয়ে জাও,2024-08-15T19:57:18Z,0,0,1,1,male,bengali,not bully
31,channelid29,channelhandler29,channeltitle29,0,0,0,2024-08-13,UgzJR0TbGDqpp7MPTuh4AaABAg,comment,,,,,,Right right right,2024-08-15T19:35:56Z,0,0,1,1,male,english,not bully
32,channelid29,channelhandler29,channeltitle29,0,0,0,2024-08-13,Ugwg-Pzruox7TDoXcSl4AaABAg,comment,,,,,,Right bondu,2024-08-15T19:35:23Z,0,0,1,1,male,romanized bengali,not bully
33,channelid30,channelhandler30,channeltitle30,0,0,0,2022-04-19,UgyMV7pQA6WAU5xjzDd4AaABAg,comment,,,,,,100%Right✌️✌️🇧🇩🇧🇩❤️❤️,2024-08-15T19:09:43Z,0,0,1,1,male,english,not bully
34,channelid31,channelhandler31,channeltitle31,2,13,237,2021-09-24,UgyhV_lUaZ31XI1izEp4AaABAg,comment,,,,,,লেখাপড়া বাদ দিয়ে রাজনীতি শুরু করছে,2024-08-15T19:03:57Z,0,0,1,1,organization,bengali,bully
35,channelid32,channelhandler32,channeltitle32,0,0,0,2024-08-07,UgxQbziE0__KPjgmLPd4AaABAg,comment,,,,,,একদম সঠিক কথা বলেছেন ভাই ইনশাল্লাহ তাদের আগে বিচার হবে নির্বাচন নিষিদ্ধ করে নিতে হবে আর কোন রকম ভাবে যদি ক্ষমতা কখনো পেয়ে যায় এখন আপনারে আমাদের এই সারা বাংলাদেশের মানুষ ঘুম কোন হত্যা করে বকরবে,2024-08-15T18:49:26Z,0,0,1,1,organization,bengali,bully
36,channelid33,channelhandler33,channeltitle33,143,11,25144,2022-07-16,UgyuAvfy5DOYRQf6tWV4AaABAg,comment,,,,,,এটা কি সময় টিভি?! আমার বিশ্বাস হচ্ছে না😂,2024-08-15T18:17:32Z,0,0,1,1,male,bengali,not bully
37,channelid34,channelhandler34,channeltitle34,36,7,275,2021-02-25,UgxHIf8xnt3DqKByQvh4AaABAg,comment,,,,,,😂😂😂 r8 bhi 💗💗💗👍👍👍👍,2024-08-15T17:44:14Z,0,0,1,1,male,romanized bengali,not bully
38,channelid35,channelhandler35,channeltitle35,0,0,0,2024-08-06,Ugw294lriAQjExDMi5J4AaABAg,comment,,,,,,বুজতে পারছি তর মুখে দিয়া কলা ডুকানু লাগবো,2024-08-15T17:35:53Z,0,0,1,1,male,bengali,bully
39,channelid36,channelhandler36,channeltitle36,1,0,0,2020-09-07,UgxSfNUvqx556rXfTdZ4AaABAg,comment,,,,,,ওই আচুদার পুত তুই নিজেও তো আওয়ামী লিগ করচিলে তুই মনে হয় কিচু ফাস নাই একন পাবে টাকা বানসতে পারবে,2024-08-15T17:19:11Z,0,0,1,1,male,bengali,bully
40,channelid37,channelhandler37,channeltitle37,0,0,0,2023-08-31,Ugx0iiNBMfbEyE0P6It4AaABAg,comment,,,,,,সারাজিস ভাই আপনি আপনার শরীরের খেয়াল রাখবেন আমাদের সবার দোয়া রইল আপনার জন্য,2024-08-15T16:46:13Z,0,0,1,1,male,bengali,not bully
41,channelid37,channelhandler37,channeltitle37,0,0,0,2023-08-31,Ugxr0Rx5Lo3TFtzQxdB4AaABAg,comment,,,,,,সারজিস ভাই আপনার কথাগুলো অনেক ভালো লাগে ভাই আল্লাহ আপনাকে নেক হায়াত দান করুক আমরা সবাই আপনার কথা জন্য দোয়া করি,2024-08-15T16:45:19Z,0,0,1,1,male,bengali,not bully
42,channelid38,channelhandler38,channeltitle38,0,0,0,2023-11-01,UgwiGfUipIh3li9dChR4AaABAg,comment,,,,,,গুরু কয় কি....,2024-08-15T16:43:49Z,0,0,1,1,male,bengali,not bully
43,channelid39,channelhandler39,channeltitle39,0,0,0,2022-01-21,Ugxl7YdlxwuzK6R1UhJ4AaABAg,comment,,,,,,100%Right,2024-08-15T16:38:57Z,0,0,1,1,male,english,not bully
44,channelid40,channelhandler40,channeltitle40,0,0,0,2024-08-10,Ugx9txn-TcdogsbFlCl4AaABAg,comment,,,,,,অনেক সুন্দর কতা❤,2024-08-15T16:38:27Z,0,0,1,1,male,bengali,not bully
45,channelid41,channelhandler41,channeltitle41,16,0,0,2014-02-20,UgwpodHV7r1x0DGaKqV4AaABAg,comment,,,,,,BNP🌾🌾🌾🌾🌾🌾🌾❤️❤️❤️❤️❤️❤️❤️❤️👍👍,2024-08-15T16:35:55Z,0,0,1,1,organization,english,not bully
46,channelid42,channelhandler42,channeltitle42,0,0,0,2024-05-14,UgyZ1Yho_qKF4OxQXvR4AaABAg,comment,,,,,,ঠিক কথাই ❤❤,2024-08-15T16:21:29Z,0,0,1,1,male,bengali,not bully
47,channelid43,channelhandler43,channeltitle43,3,0,0,2024-03-19,UgxHO7LldJvsYchVCfl4AaABAg,comment,,,,,,আসিফ ভাই ও সাকিব ভাই আপনাদের পিছনে অনেক শয়তান লাগিয়া আছে আপনারা একটু খিয়ালে তাকবেন আপনাদের আমার সালাম,2024-08-15T16:20:55Z,0,0,1,1,male,bengali,not bully
48,channelid44,channelhandler44,channeltitle44,0,0,0,2022-09-18,UgycmwyZ5Wehe0xbvqB4AaABAg,comment,,,,,,সব কয়টা গাঁজাখোর একসাথে 😂😂😂,2024-08-15T16:12:43Z,0,0,1,1,people group,bengali,bully
49,channelid45,channelhandler45,channeltitle45,4360,796,385301,2018-01-19,Ugxurw2lQaK_O_B9Y7h4AaABAg,comment,,,,,,ঠিক বলছেন। ❤❤❤❤❤❤❤,2024-08-15T16:09:42Z,0,0,1,1,male,bengali,not bully
50,channelid46,channelhandler46,channeltitle46,1,2,17,2022-11-02,UgwQ5V_VKBn6zEJ3yD94AaABAg,comment,,,,,,"সম্পর্ক ও বদলে গেল একটি পলকে, কে আপন কে যে পর হলোরে🤣🤣🤣এই বলে ছাত্র রাজনীতি থাকবে না, এখন কি বলে😂",2024-08-15T15:48:46Z,0,0,1,1,organization,bengali,not bully
51,channelid47,channelhandler47,channeltitle47,1,0,0,2023-02-14,UgzdisnBJ6FYYcAPbHF4AaABAg,comment,,,,,,Sothik kotha,2024-08-15T15:42:47Z,0,0,1,1,general people,romanized bengali,not bully
52,channelid48,channelhandler48,channeltitle48,0,0,0,2023-11-01,UgwG-LXoxHepDdCkLUl4AaABAg,comment,,,,,,Like,2024-08-15T15:34:52Z,0,0,1,1,male,english,not bully
53,channelid49,channelhandler49,channeltitle49,6,0,0,2018-04-10,UgzHm5tkMxlQe6bljrZ4AaABAg,comment,,,,,,ধন্যবাদ আপনারা আগামীর ভবিষ্যৎ। আপনাদের দিকে পুরো দেশবাসী তাকিয়ে আছে। কখনো নিরাশ করবেন না আশা করি,2024-08-15T15:33:05Z,0,0,1,1,organization,bengali,not bully
54,channelid50,channelhandler50,channeltitle50,1,0,0,2024-01-14,UgxKx3YuFxg0gfyzmQR4AaABAg,comment,,,,,,কিছুদিন আগে পর্যন্তও সারজিত আওয়ামী লীগের পা চাটা ছিল। আজ এভাবে বদলে যাওয়ার কারন কি।,2024-08-15T15:12:13Z,0,0,1,1,male,bengali,bully
55,channelid51,channelhandler51,channeltitle51,19,24,4822,2023-05-20,Ugwwl7SPwppc2EzS6Ct4AaABAg,comment,,,,,,তুই মীরজাফর,2024-08-15T15:09:23Z,0,0,1,1,male,bengali,bully
56,channelid52,channelhandler52,channeltitle52,2,0,0,2024-01-14,UgyDpIS4g7_qJpMiOGp4AaABAg,comment,,,,,,right speech hero vai,2024-08-15T15:04:36Z,0,0,1,1,male,romanized bengali,not bully
57,channelid53,channelhandler53,channeltitle53,0,1,6,2022-05-21,Ugw-DdbS3sdiGHkoo_R4AaABAg,comment,,,,,,Agiye jaw amra asi tomader shate,2024-08-15T15:03:03Z,0,0,1,1,organization,romanized bengali,not bully
58,channelid54,channelhandler54,channeltitle54,1,0,0,2024-01-04,UgxP0xXfAplh2dBH5uB4AaABAg,comment,,,,,,❤❤,2024-08-15T14:53:49Z,0,0,1,1,male,emoji-only,not bully
59,channelid55,channelhandler55,channeltitle55,2,0,0,2024-04-19,UgzCTYaDLjz724bMmzF4AaABAg,comment,,,,,,সঠিক আমারা বাংলাদেশের সকল সাধারন মানুষ সহমত পোষন করি,2024-08-15T14:49:25Z,0,0,1,1,people group,bengali,not bully
60,channelid56,channelhandler56,channeltitle56,6,1,41,2015-06-20,Ugw4PWWGgc5XIr6vSRd4AaABAg,comment,,,,,,সঠিক বিচার চাই,2024-08-15T14:33:51Z,0,0,1,1,general people,bengali,not bully
61,channelid57,channelhandler57,channeltitle57,326,2,135055,2022-12-09,Ugy300cwx8zzs1J85zV4AaABAg,comment,,,,,,বাহিরের টাকা বাংকে তো এখভ ভরা তা জনগণ তো জানে না😂,2024-08-15T14:20:39Z,0,0,1,1,general people,bengali,not bully
62,channelid57,channelhandler57,channeltitle57,326,2,135055,2022-12-09,UgzLaOP1XDu72qLnZkB4AaABAg,comment,,,,,,এনি কে? দেশের জন্য কি করেছে? হুদাই এক একটা বলে আর সেটা নিয়ে বাড়াবাড়ি হায়রে বাংলাদেশ এর মানুষ কতটা বোকা,2024-08-15T14:20:08Z,0,0,1,1,female,bengali,bully
63,channelid58,channelhandler58,channeltitle58,0,2,18,2019-08-23,UgwkaRhezaG9Gsn7JBB4AaABAg,comment,,,,,,1st a ads dekhiye tarpor video start koriyen,2024-08-15T14:12:41Z,0,0,1,1,organization,romanized bengali,not bully
64,channelid59,channelhandler59,channeltitle59,3,0,0,2017-12-21,UgwNrdg-bPMUhc61dOZ4AaABAg,comment,,,,,,মনের কথা,2024-08-15T14:09:29Z,0,0,1,1,general people,bengali,not bully
65,channelid60,channelhandler60,channeltitle60,0,0,0,2024-07-17,Ugz8RuZO7-Wpwa5Sgi54AaABAg,comment,,,,,,মানুষের সক্ষমতা কে বাড়াল। আমরা এমন জাতি কাউকে সন্মান দিয়ে কথা বলতে জানি না।,2024-08-15T14:07:55Z,0,0,1,1,people group,bengali,bully
66,channelid61,channelhandler61,channeltitle61,2,3,24,2023-09-09,UgwO_9Eub3vl1yg-cTF4AaABAg,comment,,,,,,কারেট কথা বলছেন,2024-08-15T13:54:46Z,0,0,1,1,male,bengali,not bully
67,channelid62,channelhandler62,channeltitle62,0,0,0,2024-08-10,UgwrVnbNZhIdWaqa6454AaABAg,comment,,,,,,এরা জামাত শিবিরের লোক,2024-08-15T13:50:50Z,0,0,1,1,organization,bengali,bully
68,channelid63,channelhandler63,channeltitle63,10700,133,2558069,2024-06-05,UgzXsitA1Xd68LIWHOt4AaABAg,comment,,,,,,আমার মনে হয় সারজিস ভাই। মানুষ রুপে বাঘের বাচ্চা ❤❤,2024-08-15T13:45:53Z,0,0,1,1,male,bengali,not bully
69,channelid64,channelhandler64,channeltitle64,0,0,0,2022-01-15,UgxwiVba5mzlcZj7eZ94AaABAg,comment,,,,,,আপনার রাজনৈতিক শুরু আওয়ামী লীগের মধ্যে ভালো কোন পদ পান নাই দেখে বাঁশি বাজিয়ে ছেন,2024-08-15T13:37:30Z,0,0,1,1,male,bengali,bully
70,channelid65,channelhandler65,channeltitle65,3,0,0,2022-03-31,UgxSIlK5D5sHvt4E_VF4AaABAg,comment,,,,,,ঠিক ভাই,2024-08-15T13:37:03Z,0,0,1,1,male,bengali,not bully
71,channelid66,channelhandler66,channeltitle66,23,4,142,2022-06-17,Ugx-lYTaITKhG28XraR4AaABAg,comment,,,,,,😢,2024-08-15T13:36:08Z,0,0,1,1,general people,emoji-only,not bully
72,channelid67,channelhandler67,channeltitle67,48,2,2033,2024-01-04,UgxjvrIX-E2O5D7Iihd4AaABAg,comment,,,,,,গলার আওয়াজ কেরুম। হনুমান😑😑,2024-08-15T13:31:19Z,0,0,1,1,male,bengali,bully
73,channelid68,channelhandler68,channeltitle68,0,0,0,2022-02-24,UgxMLK_0UnBm2F9XDq54AaABAg,comment,,,,,,"তুই তো ছাত্র,,,, এখন দেখি রাজনীতি তে নাম লেখানোর সুযোগ",2024-08-15T13:30:07Z,0,0,1,1,male,bengali,bully
74,channelid69,channelhandler69,channeltitle69,0,0,0,2023-05-09,UgwIUXtS1RVLJwhVB5t4AaABAg,comment,,,,,,Sallot Sarjesh,2024-08-15T13:28:12Z,0,0,1,1,male,romanized bengali,not bully
75,channelid70,channelhandler70,channeltitle70,0,0,0,2020-10-31,Ugw-Foasp3uM5oKDYtp4AaABAg,comment,,,,,,কথা একদম রাইট কথা ভাই সত্যি কথা সত্যি কথা বলার জন্য আপনাকে অনেক ভালো লাগে,2024-08-15T13:26:04Z,0,0,1,1,male,bengali,not bully
76,channelid71,channelhandler71,channeltitle71,0,0,0,2022-11-16,Ugyo5w1FhglmZ78VyU14AaABAg,comment,,,,,,সময়োপযোগী সাহসী বক্তব্য।,2024-08-15T13:23:50Z,0,0,1,1,male,bengali,not bully
77,channelid72,channelhandler72,channeltitle72,0,0,0,2024-05-28,UgwKABitmvVKG42r-Qt4AaABAg,comment,,,,,,"মনের কথা বলেছেন ভাই,,, আমি ও এটা বলতে চেয়েছিলাম কিন্তু আওয়ামীলীগ সরকারের কারনে পারিনি",2024-08-15T13:19:41Z,0,0,1,1,organization,bengali,not bully
78,channelid73,channelhandler73,channeltitle73,1,1,0,2024-06-01,UgyVU4lzAC202laM2kV4AaABAg,comment,,,,,,হ 😂😂😂😂😂😅😅😅,2024-08-15T12:38:46Z,0,0,1,1,male,bengali,not bully
79,channelid74,channelhandler74,channeltitle74,1,0,0,2012-09-16,Ugyse_heN-GpLGOSQap4AaABAg,comment,,,,,,Right,2024-08-15T12:35:55Z,0,0,1,1,male,english,not bully
80,channelid75,channelhandler75,channeltitle75,1,1,10,2022-02-28,Ugy64xpbPKtq5UvG-qh4AaABAg,comment,,,,,,👍👍👍👍👍,2024-08-15T12:28:44Z,0,0,1,1,male,emoji-only,not bully
81,channelid76,channelhandler76,channeltitle76,1,1,29,2023-04-25,Ugze_bgAsYBZNrycdP94AaABAg,comment,,,,,,✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊✊💖💖💖💖💖💖💖💖🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩✊✊✊😪😪😪✊✊✊✊✊✊✊✊✊💖💖💖💖💖💖💖💖,2024-08-15T12:27:25Z,0,0,1,1,general people,emoji-only,not bully
82,channelid77,channelhandler77,channeltitle77,0,0,0,2021-09-20,UgzlrNxITth-gBa1z5t4AaABAg,comment,,,,,,মনের কথা বলছেন ভাই,2024-08-15T12:25:06Z,0,0,1,1,male,bengali,not bully
83,channelid78,channelhandler78,channeltitle78,0,0,0,2018-06-30,UgxhvezTVj_qLKYzqYF4AaABAg,comment,,,,,,আওয়ামিলীগ শাসনামলের দায়িত্বশীল ব্যক্তি ছিল চোর বাটপার সব। একদম মেম্বার থেকে শুরু করে সমস্ত আওয়ামী লীগপন্থী এই চোর বাটপার গুলোকে পরিষ্কার করা দরকার। এই সব ডাস্টবিন গুলোকে পরিবর্তন করতে হবে। এদের রক্তে রক্তে ফেসিবাদ মিশে আছে।,2024-08-15T12:24:23Z,0,0,1,1,organization,bengali,bully
84,channelid79,channelhandler79,channeltitle79,0,0,0,2024-07-03,UgxRyyjGYM9AsxBVMdd4AaABAg,comment,,,,,,Vay tumi amar boke aso,2024-08-15T12:23:12Z,0,0,1,1,male,romanized bengali,not bully
85,channelid80,channelhandler80,channeltitle80,1,0,0,2021-05-02,UgwyE0PdAFif_JzOC-p4AaABAg,comment,,,,,,কোটা আন্দোলনের শিক্ষার্থীরা এখন রাজনৈতিক নেতা আত্মপ্রকাশ করেছে।,2024-08-15T12:22:26Z,0,0,1,1,people group,bengali,not bully
86,channelid81,channelhandler81,channeltitle81,0,0,0,2021-05-30,UgwENZDAvTBlZnIwTDZ4AaABAg,comment,,,,,,❤❤❤❤,2024-08-15T12:09:37Z,0,0,1,1,male,emoji-only,not bully
87,channelid82,channelhandler82,channeltitle82,0,5,18,2023-03-23,UgwaToFykCyjMHp5LVt4AaABAg,comment,,,,,,❤❤❤❤❤❤,2024-08-15T12:08:40Z,0,0,1,1,male,emoji-only,not bully
88,channelid83,channelhandler83,channeltitle83,0,0,0,2024-05-15,UgzK5M9R1yI1__UGoV14AaABAg,comment,,,,,,100% সঠিক কথা বলেছেন।,2024-08-15T12:05:32Z,0,0,1,1,male,code-mix,not bully
89,channelid84,channelhandler84,channeltitle84,0,0,0,2023-04-08,Ugzj0rZC4p6FBIaqxBB4AaABAg,comment,,,,,,❤ALLAHA ❤ALHAMDULILLHA MASHALLHA OSADARON SARJIS ❤ALLAHA ❤❤BANGLADESH ❤BANGLADESH ✅️ 🇧🇩 ZINDABAD KHUNI HASINAR BISAR BANGLADESH 🇧🇩 AR. JONOGON KORVAI KORBA 🇧🇩 INSHALLHA,2024-08-15T12:00:03Z,1,0,1,1,general people,romanized bengali,bully
90,channelid85,channelhandler85,channeltitle85,3,9,1144,2016-03-23,UgzM8CZMArkzGnpMcwN4AaABAg,comment,,,,,,তাদের কোন কনফিডেন্ট ছিলন যে তারা ১টা আসন ও পাবে।,2024-08-15T11:59:18Z,0,0,1,1,organization,bengali,not bully
91,channelid86,channelhandler86,channeltitle86,0,0,0,2023-10-26,UgyK0lAuGsCrqbXZD054AaABAg,comment,,,,,,সাব্বাশ বাঘের বাচ্চা,2024-08-15T11:55:10Z,0,0,1,1,male,bengali,not bully
92,channelid87,channelhandler87,channeltitle87,2,0,0,2022-10-09,UgxGSo35-qFzD708Am54AaABAg,comment,,,,,,❤❤❤❤❤❤ সুন্দর আহারে ভাই তুমি কোটি কোটি মানুষের মনের সকল কথা গুলো বলছো 😭😭😭🌹🌹🌹💯💯😊😊,2024-08-15T11:47:43Z,0,0,1,1,male,bengali,not bully
93,channelid88,channelhandler88,channeltitle88,0,0,0,2024-04-22,UgwLcN1C-SewFxV6JXx4AaABAg,comment,,,,,,right,2024-08-15T11:47:16Z,0,0,1,1,male,english,not bully
94,channelid89,channelhandler89,channeltitle89,0,0,0,2024-01-19,Ugz6k6cQCcd9sXQ276Z4AaABAg,comment,,,,,,একদম সঠিক রে ভাই,2024-08-15T11:45:28Z,0,0,1,1,male,bengali,not bully
95,channelid90,channelhandler90,channeltitle90,0,0,0,2023-12-10,Ugzy0HARuDZfvUuvI2x4AaABAg,comment,,,,,,ঠিক,2024-08-15T11:43:26Z,0,0,1,1,male,bengali,not bully
96,channelid91,channelhandler91,channeltitle91,1,0,0,2022-06-23,Ugz9bCFlx2Mh1UdzlqV4AaABAg,comment,,,,,,ঠিক,2024-08-15T11:40:07Z,0,0,1,1,male,bengali,not bully
